"country","iso2c","iso3c","year","NY.GDP.MKTP.CD","ST.INT.ARVL","IS.AIR.PSGR","EG.USE.ELEC.KH.PC","AG.LND.TOTL.K2","EN.ATM.PM25.MC.M3","SP.POP.TOTL","IS.RRS.PASG.KM","SH.ALC.PCAP.LI"
"Cuba","CU","CUB",2000,30565400000,1774000,1007193,1140.0358605704,107400,21.3974205669767,11105791,1853,5.43
"Cuba","CU","CUB",2001,31682400000,1775000,882309,1160.50387072524,107400,21.206308539373,11139127,NA,5.43
"Cuba","CU","CUB",2002,33590500000,1686000,588700,1188.26673217517,106390,20.7560611503545,11170051,1681.4,5.58
"Cuba","CU","CUB",2003,35901200000,1906000,610957,1196.60151240931,106400,20.1976249122847,11199217,2046.1,5.71
"Cuba","CU","CUB",2004,3.8203e+10,2049000,743256,1177.96469295147,106410,19.681946337527,11225294,1759.5,5.84
"Cuba","CU","CUB",2005,42643836100,2319000,812781,1156.66620487752,106440,19.3599719384448,11246114,1513.8,5.75
"Cuba","CU","CUB",2006,48835925925.9259,2221000,811559,1227.28479667656,106430,19.1954916262929,11260630,1233.4,5.63
"Cuba","CU","CUB",2007,54262870370.3704,2152000,857213,1300.27923083878,106440,19.0582324966618,11269887,1284.8,5.57
"Cuba","CU","CUB",2008,56302129629.6296,2348000,861352,1318.7475064534,106440,18.9580468384187,11276609,NA,5.53
"Cuba","CU","CUB",2009,57481481481.4815,2430000,780484,1328.08245189634,106440,18.9047869404309,11283185,NA,5.54
"Cuba","CU","CUB",2010,59562962962.963,2532000,1578011.78867135,1295.70059281247,106440,18.9083050915655,11290417,NA,5.5
"Cuba","CU","CUB",2011,6.899e+10,2716000,1478595.95916068,1325.19553117126,106863,19.6720738913487,11298710,NA,5.55
"Cuba","CU","CUB",2012,7.3141e+10,2847000,1313502.68398397,1372.85364510062,106649,19.6276365485068,11309290,NA,5.58
"Cuba","CU","CUB",2013,7.7148e+10,2862000,1395072,1430.63083338464,104220,19.9113493948996,11321579,NA,5.66
"Cuba","CU","CUB",2014,80656100000,3014000,1135200,1447.66699264545,104020,20.762060268269,11332026,NA,5.77
"Cuba","CU","CUB",2015,87132800000,3540000,1294458,NA,104100,21.4005165459257,11339894,NA,5.85
"Cuba","CU","CUB",2016,91370407863.7,4009000,1333078,NA,104040,19.7476038869862,11342012,NA,5.91
"Cuba","CU","CUB",2017,96850649691.7406,4654000,942785,NA,103800,20.1327865141339,11336405,NA,5.95
"Cuba","CU","CUB",2018,100050036096.123,4712000,563540,NA,103800,20.9153664764928,11328244,NA,6.01
"Cuba","CU","CUB",2019,103427600000,4276000,457130,NA,103800,20.3431122356184,11316697,NA,6.01
"Cuba","CU","CUB",2020,107351800000,1086000,99838,NA,103800,21.2367242811561,11300698,NA,5.38
"Cuba","CU","CUB",2021,NA,NA,22359,NA,103800,NA,11256372,NA,NA
"Cuba","CU","CUB",2022,NA,NA,NA,NA,NA,NA,11212191,NA,NA
"Cuba","CU","CUB",2023,NA,NA,NA,NA,NA,NA,11194449,NA,NA
